t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi 
  0.0000  -2.0792  -5.0378  -9.3745   2.8452  -0.4285  -0.4536  -2.3587   1.0612  -0.1706  -0.1897   0.3007 
  0.0000  -1.7144  -4.4623  -9.6460   3.1897  -0.2796  -0.7106  -2.1916   1.1495  -0.1579  -0.1948   0.3275 
  0.0000  -1.6941  -4.3569 -10.0594   3.6963  -0.0338  -0.7747  -2.0246   1.1304  -0.1552  -0.2052   0.3602 
  0.0000  -1.5118  -4.2070 -10.2621   4.2556   0.2242  -0.8474  -1.8367   1.0551  -0.1466  -0.2152   0.3838 
  0.0000  -1.5807  -3.9557 -10.4728   4.4907   0.5150  -0.9625  -1.6982   1.1884  -0.1440  -0.2167   0.4087 
  0.0000  -1.6455  -4.7055 -10.3593   5.1554   0.9088  -0.5929  -1.6610   1.0932  -0.1444  -0.2322   0.4044 
  0.0000  -1.3902  -3.4207 -10.1445   5.0621   1.1062  -1.1902  -1.6740   1.4351  -0.1237  -0.2155   0.4278 
  0.0000  -0.8998  -3.4450 -10.0554   5.5931   1.1045  -1.1503  -1.5961   1.3866  -0.1101  -0.2274   0.4254 
  0.0000  -0.3445  -3.4450 -10.0432   6.1078   1.0127  -1.1322  -1.4490   1.4368  -0.0966  -0.2406   0.4237 
  0.0000   0.0162  -3.5625  -9.5244   6.3631   1.1529  -0.9668  -1.5658   1.4498  -0.0838  -0.2433   0.3996 
  0.0000  -0.0122  -3.0681 -10.4201   6.1078   1.4273  -1.1633  -1.0923   1.7675  -0.0924  -0.2448   0.4374 
  0.0000   0.3931  -3.2343  -9.1353   7.2872   1.5779  -0.9945  -1.5035   1.3892  -0.0586  -0.2506   0.4154 
  0.0000   1.0457  -3.0883  -9.6298   7.2386   1.5070  -0.9539  -1.0828   1.5727  -0.0554  -0.2625   0.4135 
  0.0000   1.1065  -2.4723  -8.5517   7.2507   1.6896  -1.1503  -1.3685   1.8021  -0.0333  -0.2423   0.3969 
  0.0000   1.5239  -2.2615  -8.5639   7.5142   1.7467  -1.1417  -1.0880   1.8566  -0.0223  -0.2483   0.3991 
  0.0000   1.5725  -2.0467  -7.8668   8.3085   1.9977  -1.1538  -1.3667   1.5875  -0.0004  -0.2474   0.4077 
  0.0000   2.5453  -2.1764  -7.8951   8.4788   1.6584  -0.8664  -1.1114   1.7000   0.0119  -0.2637   0.3783 
  0.0000   2.9668  -1.9738  -7.7817   8.8638   1.6524  -0.8543  -0.9781   1.6870   0.0259  -0.2698   0.3800 
  0.0000   3.3113  -1.9576  -7.2872   9.0746   1.6264  -0.6708  -0.9634   1.6697   0.0393  -0.2704   0.3602 
  0.0000   3.5788  -1.5320  -7.0886   9.4393   1.6359  -0.6345  -0.8569   1.5485   0.0550  -0.2705   0.3707 
